shortName,name,averageDelay,passagesCount,latitude,longitude
695,Rajsko,2.389830508474576,59,49.98698972222222,19.969113055555557
8,Mydlniki,2.020743301642178,1157,50.084470555555555,19.844989444444444
1117,Borek Szlachecki II (nż),6.15,20,49.96495,19.771516944444443
1227,Przeginia Narodowa (nż),0.7647058823529411,17,50.00577416666667,19.66066222222222
2561,Bolesława Śmiałego,3.2218597063621535,613,50.018320555555555,19.817783055555555
2816,Wieliczka Solne Miasto,4.571428571428571,7,49.9857,20.0461
2975,Krasieniec Pod Lipą,3.0,1,50.2074,19.9379
3063,Kozienicka,1.3333333333333333,30,50.00607,19.85868
894,Wołowice (nż),2.6296296296296298,27,49.98893361111111,19.726890555555556
1054,Kleszczów,0.3333333333333333,3,50.105,19.7488
1277,Niepołomice Rynek,3.588235294117647,17,50.0334,20.2163
1367,Rybna Dolna,1.2857142857142858,7,50.0396,19.6342
258,Kryspinów,3.1156626506024097,830,50.04298638888889,19.796982777777778
787,Radziszów Zadworze (nż),3.2452107279693485,261,49.936328333333336,19.815715
1336,Wola Radziszowska Podgaźle (nż),2.8919860627177703,287,49.9096,19.7921
184,Trojanowice,2.0,6,50.139,19.8992
203,Zabierzów Piaski (nż),6.454545454545454,11,50.11694055555556,19.783724166666666
22,Gospodarska,0.8,5,50.10807666666667,19.90287888888889
2496,Mała Wieś (nż),5.1,10,49.99874861111111,20.102038055555557
28,Os.Marszowiec,0.7333333333333333,15,50.11863555555556,19.941493055555554
570,Plac Bohaterów Getta,0.36363636363636365,11,50.04666972222222,19.955022777777778
888,Mogilany Cmentarz (nż),1.4214285714285715,140,49.944834722222225,19.883933333333335
1062,Janasówka (nż),3.4545454545454546,22,49.99974916666667,19.817710555555557
1283,Wola Batorska Cmentarz (nż),1.6,5,50.052659722222224,20.290264166666667
199,Zabierzów,1.0,1,50.10782638888889,19.81666361111111
2532,Bosaków,1.936936936936937,111,50.08275527777778,19.963753611111112
2570,Surzyckiego,3.731227651966627,1678,50.039184444444444,20.00433
2630,Owczary Górna (nż),1.0,1,50.162,19.9234
2946,Wrząsowice Centrum,1.027906976744186,215,49.959984722222224,19.944124722222224
3247,Wieliczka Polna (nż),2.1818181818181817,11,49.98,20.07795
343,Żerkowice Kolonia (nż),4.0,1,50.18573,19.943775833333333
423,Struga,4.3137978772496535,4334,50.074797777777775,20.04704
539,Wolica (nż),7.769230769230769,13,50.06292083333334,20.1943825
628,Sławka (nż),7.524475524475524,143,50.02623083333334,19.959847777777778
808,Włosań Krzyżówka (nż),3.75,4,49.918,19.9144
856,Rzeszotary Trafo (nż),2.4193548387096775,31,49.939254166666665,19.983705277777776
1213,Rybna Dół (nż),2.893258426966292,178,50.0439,19.6375
2610,Ślaskiego (nż),2.0,43,50.025585,19.850879166666665
